Hallo,Ich sage hallo zu meinen Freunden,Hello,I say hello to my friends
Danke,Vielen Dank für deine Hilfe,Thank you,Thank you very much for your help
Bitte,Bitte schön,Please,You are welcome
Guten Morgen,Guten Morgen! Wie geht es dir?,Good morning,Good morning! How are you?
Auf Wiedersehen,Auf Wiedersehen! Bis bald!,Goodbye,Goodbye! See you soon!
Wasser,Ich trinke gerne kaltes Wasser,Water,I like to drink cold water
Brot,Das Brot schmeckt sehr gut,Bread,The bread tastes very good
Haus,Ich wohne in einem großen Haus,House,I live in a big house
Auto,Mein Auto ist blau und schnell,Car,My car is blue and fast
Freund,Mein bester Freund heißt Tom,Friend,My best friend is called Tom
Schule,Die Schule beginnt um acht Uhr,School,School starts at eight o'clock
Buch,Ich lese gerne interessante Bücher,Book,I like to read interesting books
Zeit,Die Zeit vergeht so schnell,Time,Time passes so quickly
Liebe,Liebe ist das wichtigste im Leben,Love,Love is the most important thing in life
Essen,Das Essen im Restaurant war lecker,Food,The food in the restaurant was delicious
Familie,Meine Familie ist sehr wichtig für mich,Family,My family is very important to me
Arbeit,Ich gehe jeden Tag zur Arbeit,Work,I go to work every day
Musik,Ich höre gerne klassische Musik,Music,I like to listen to classical music
Wetter,Das Wetter ist heute sehr schön,Weather,The weather is very nice today
Sprache,Deutsch ist eine schöne Sprache,Language,German is a beautiful language
